gid,자치구명,법정동명,등록동물수,공시지가,교통량,반려동물_관련시설
11110101,종로구,청운동,155,1672511.72,562,0
11110102,종로구,신교동,89,3512680.34,562,0
11110103,종로구,궁정동,7,2726053.75,562,0
11110104,종로구,효자동,46,4504767.1,562,0
11110105,종로구,창성동,35,5229726.37,562,0
11110106,종로구,통의동,30,6227721.06,861,0
11110107,종로구,적선동,11,17778669.92,861,0
11110108,종로구,통인동,59,5868900.93,562,0
11110109,종로구,누상동,207,1171220.62,562,0
11110110,종로구,누하동,57,4580692.19,562,0
11110111,종로구,옥인동,147,1509510.89,562,1
11110112,종로구,체부동,66,5613518.06,861,0
11110113,종로구,필운동,47,4634413.2,861,1
11110114,종로구,내자동,14,13972724.19,861,0
11110115,종로구,사직동,246,2597632.86,861,0
11110116,종로구,도렴동,2,26113451.3,861,0
11110117,종로구,당주동,29,19517376.77,861,0
11110118,종로구,내수동,187,13050961.65,861,0
11110119,종로구,세종로,31,7831450.02,562,0
11110120,종로구,신문로1가,6,26717093.18,861,0
11110121,종로구,신문로2가,55,6653393.4,861,2
11110122,종로구,청진동,4,32498782.11,482,0
11110123,종로구,서린동,24,41007725.24,482,0
11110124,종로구,수송동,26,17571339.31,482,0
11110125,종로구,중학동,0,16112547.99,482,0
11110126,종로구,종로1가,14,28789913.47,482,0
11110127,종로구,공평동,2,37689536.09,482,0
11110128,종로구,관훈동,2,13631576.23,482,0
11110129,종로구,견지동,15,10778776.45,482,0
11110130,종로구,와룡동,5,1558987.2,482,0
11110131,종로구,권농동,22,3323987.28,482,0
11110132,종로구,운니동,8,9434321.65,482,0
11110133,종로구,익선동,46,7592527.06,482,0
11110134,종로구,경운동,12,10404046.96,482,0
11110135,종로구,관철동,6,23265360.08,482,0
11110136,종로구,인사동,10,17409767.22,482,0
11110137,종로구,낙원동,31,11723722.38,482,0
11110138,종로구,종로2가,0,25908894.69,482,0
11110139,종로구,팔판동,28,6083371.97,1050,0
11110140,종로구,삼청동,120,1112971.53,1050,0
11110141,종로구,안국동,15,7487517.32,1050,0
11110142,종로구,소격동,18,8405839.25,1050,0
11110143,종로구,화동,9,5845526.55,1050,0
11110144,종로구,사간동,18,8507676.63,1050,0
11110145,종로구,송현동,0,8580093.42,1050,0
11110146,종로구,가회동,105,5564870.11,891,0
11110147,종로구,재동,7,8323568.24,891,0
11110148,종로구,계동,83,5338172.56,891,0
11110149,종로구,원서동,117,3396794.14,891,0
11110150,종로구,훈정동,0,1234765.24,482,0
11110151,종로구,묘동,0,12801493.28,482,0
11110152,종로구,봉익동,2,7854752.31,482,0
11110153,종로구,돈의동,34,9977276.7,482,0
11110154,종로구,장사동,3,12770533.09,482,0
11110155,종로구,관수동,1,14122387.88,482,0
11110156,종로구,종로3가,1,18450677.53,482,0
11110157,종로구,인의동,47,10946152.6,482,0
11110158,종로구,예지동,0,13831952.62,482,0
11110159,종로구,원남동,36,5054803.36,482,0
11110160,종로구,연지동,34,8212800.52,2119,0
11110161,종로구,종로4가,2,13754677.37,482,0
11110162,종로구,효제동,22,7695265.51,2119,1
11110163,종로구,종로5가,11,13044312.25,2119,1
11110164,종로구,종로6가,35,8898926.25,2119,0
11110165,종로구,이화동,119,3833552.16,4956,1
11110166,종로구,연건동,63,5252472.74,4956,0
11110167,종로구,충신동,155,4382739.3,2119,0
11110168,종로구,동숭동,309,6485223.57,4956,0
11110169,종로구,혜화동,197,4460818.16,3717,5
11110170,종로구,명륜1가,217,3646959.6,3717,0
11110171,종로구,명륜2가,191,6835093.62,3717,0
11110172,종로구,명륜4가,55,7276936.33,3717,1
11110173,종로구,명륜3가,264,2177881.41,14868,0
11110174,종로구,창신동,1181,4287561.49,2323,2
11110175,종로구,숭인동,901,4677245.15,14346,2
11110176,종로구,교남동,3,9067564.14,1711,0
11110177,종로구,평동,39,11210602.41,1711,0
11110178,종로구,송월동,4,7779291.32,1711,0
11110179,종로구,홍파동,162,9276599.91,1711,0
11110180,종로구,교북동,44,7505000.07,1711,0
11110181,종로구,행촌동,208,3270783.36,1711,0
11110182,종로구,구기동,546,369774.44,5760,0
11110183,종로구,평창동,1203,821092.47,5760,0
11110184,종로구,부암동,497,746262.77,6177,2
11110185,종로구,홍지동,139,1598634.25,6177,0
11110186,종로구,신영동,304,1829000.28,6177,2
11110187,종로구,무악동,451,2541751.36,18875,0
11140101,중구,무교동,2,36499659.85,536,0
11140102,중구,다동,153,31733734.18,536,0
11140103,중구,태평로1가,1,34287675.95,536,0
11140104,중구,을지로1가,0,45318675.84,536,0
11140105,중구,을지로2가,0,40287282.51,536,0
11140106,중구,남대문로1가,0,26593919.37,536,0
11140107,중구,삼각동,0,27889406.48,536,0
11140108,중구,수하동,1,39798446.98,536,0
11140109,중구,장교동,0,35256529.48,536,0
11140110,중구,수표동,1,20997172.22,536,0
11140111,중구,소공동,2,34876163.99,953,0
11140112,중구,남창동,31,11634005.73,1181,0
11140113,중구,북창동,3,20230515.11,953,0
11140114,중구,태평로2가,2,29861496.22,953,0
11140115,중구,남대문로2가,0,31893828.83,536,0
11140116,중구,남대문로3가,0,37775722.53,1181,0
11140117,중구,남대문로4가,0,25867943.71,1181,0
11140118,중구,남대문로5가,51,17726960.17,1181,0
11140119,중구,봉래동1가,12,12323947.85,1181,0
11140120,중구,봉래동2가,1,12583975.73,1181,0
11140121,중구,회현동1가,201,6367714.5,536,0
11140122,중구,회현동2가,93,15192435.45,536,0
11140123,중구,회현동3가,4,11319418.63,536,0
11140124,중구,충무로1가,7,56894902.57,536,0
11140125,중구,충무로2가,3,32266517.87,536,0
11140126,중구,명동1가,0,59533259.49,536,0
11140127,중구,명동2가,9,51367293.03,536,0
11140128,중구,남산동1가,27,8506808.86,536,0
11140129,중구,남산동2가,58,5845465.39,536,0
11140130,중구,남산동3가,2,6804972.24,536,0
11140131,중구,저동1가,3,22902335.37,536,0
11140132,중구,충무로4가,54,10695319.8,1222,0
11140133,중구,충무로5가,42,8541771.92,1222,0
11140134,중구,인현동2가,36,10423297.6,1222,0
11140135,중구,예관동,5,9283221.96,1222,0
11140136,중구,묵정동,67,5953938.44,5365,0
11140137,중구,필동1가,10,9670766.78,975,0
11140138,중구,필동2가,52,5941487.22,975,2
11140139,중구,필동3가,82,4996784.03,975,0
11140140,중구,남학동,1,6717336.31,975,0
11140141,중구,주자동,2,3799443.9,975,0
11140142,중구,예장동,58,1091147.55,975,0
11140143,중구,장충동1가,132,6117413.15,5365,0
11140144,중구,장충동2가,190,2391473.43,5365,4
11140145,중구,광희동1가,25,8704758.85,1222,0
11140146,중구,광희동2가,60,5530271.27,1222,0
11140147,중구,쌍림동,23,7966723.64,1222,0
11140148,중구,을지로6가,11,16203743.88,1222,0
11140149,중구,을지로7가,7,12134908.81,1222,0
11140150,중구,을지로4가,6,13643286.35,1185,0
11140151,중구,을지로5가,47,9333267.76,1185,0
11140152,중구,주교동,3,9616444.94,1185,0
11140153,중구,방산동,3,11412098.22,1185,0
11140154,중구,오장동,16,7589800.12,1222,0
11140155,중구,을지로3가,8,13530920.87,1185,0
11140156,중구,입정동,1,14386684.23,1185,0
11140157,중구,산림동,17,11787265.3,1185,0
11140158,중구,충무로3가,10,12299244.97,975,0
11140159,중구,초동,5,12441735.01,1185,0
11140160,중구,인현동1가,5,9571183.58,1185,0
11140161,중구,저동2가,6,15385790,1185,0
11140162,중구,신당동,4611,5280194.11,11771,18
11140163,중구,흥인동,143,8821996.07,3948,0
11140164,중구,무학동,19,6682680.12,3948,0
11140165,중구,황학동,891,6502210.25,8771,3
11140166,중구,서소문동,1,15132761.32,953,0
11140167,중구,정동,44,5618549.69,953,0
11140168,중구,순화동,66,11241948.67,1181,0
11140169,중구,의주로1가,7,10370692.82,953,0
11140170,중구,충정로1가,0,12257682.12,953,0
11140171,중구,중림동,271,5649149.6,2407,0
11140172,중구,의주로2가,5,3150016.25,2407,0
11140173,중구,만리동1가,58,4185324.63,2407,0
11140174,중구,만리동2가,155,5866520.56,2407,0
11170101,용산구,후암동,1223,3663212.08,9225,3
11170102,용산구,용산동2가,1021,3129217.78,8941,3
11170103,용산구,용산동4가,2,3207602.53,8941,4
11170104,용산구,갈월동,187,8978836.07,3741,0
11170105,용산구,남영동,35,11143536.48,3741,0
11170106,용산구,용산동1가,0,3189743.09,3741,0
11170107,용산구,동자동,218,10630800.62,3741,0
11170108,용산구,서계동,315,5894699.71,2131,2
11170109,용산구,청파동1가,428,4640010.07,2131,0
11170110,용산구,청파동2가,132,4772994.04,2131,0
11170111,용산구,청파동3가,164,5715246.89,2131,2
11170112,용산구,원효로1가,389,7213442.35,2411,0
11170113,용산구,원효로2가,126,6563019.13,2411,1
11170114,용산구,신창동,133,4565095.16,3216,0
11170115,용산구,산천동,488,6471576.41,3216,1
11170116,용산구,청암동,131,4035597.17,3216,1
11170117,용산구,원효로3가,139,6901136.99,3216,1
11170118,용산구,원효로4가,222,4134035.62,3216,3
11170119,용산구,효창동,590,4431300.02,7780,0
11170120,용산구,도원동,324,7661842.34,2340,0
11170121,용산구,용문동,315,5763964.3,2340,2
11170122,용산구,문배동,353,8637261.2,2411,1
11170123,용산구,신계동,160,6434962.46,2411,3
11170124,용산구,한강로1가,239,8116334.05,2323,0
11170125,용산구,한강로2가,506,13176619.4,2323,0
11170126,용산구,용산동3가,11,3438514.31,2323,0
11170127,용산구,용산동5가,191,4235716.13,2323,0
11170128,용산구,한강로3가,562,11277002.46,2323,3
11170129,용산구,이촌동,2289,2703654.93,43841,10
11170130,용산구,이태원동,2262,7074899.22,12280,6
11170131,용산구,한남동,2292,5393464.58,27782,8
11170132,용산구,동빙고동,450,6577584.24,5967,1
11170133,용산구,서빙고동,387,3267059.17,5967,0
11170134,용산구,주성동,75,1987003.72,5967,0
11170135,용산구,용산동6가,0,2099902.01,5967,0
11170136,용산구,보광동,1358,5509550.17,18945,5
11200101,성동구,상왕십리동,206,5656328.35,1822,3
11200102,성동구,하왕십리동,1480,4873840.48,1822,5
11200103,성동구,홍익동,176,4307257.34,1822,0
11200104,성동구,도선동,249,5780025.26,1822,0
11200105,성동구,마장동,967,3449446.19,17036,4
11200106,성동구,사근동,264,2398915.67,6046,1
11200107,성동구,행당동,1838,4472656.74,2940,10
11200108,성동구,응봉동,830,2761366.22,8808,3
11200109,성동구,금호동1가,927,3596646.37,6269,3
11200110,성동구,금호동2가,704,3546960.97,4478,0
11200111,성동구,금호동3가,724,3666762.37,4478,4
11200112,성동구,금호동4가,750,2668440.71,27039,4
11200113,성동구,옥수동,1476,2259576.91,18202,7
11200114,성동구,성수동1가,1937,3850439.39,24466,8
11200115,성동구,성수동2가,1532,5113027.06,5484,7
11200118,성동구,송정동,619,1436063.91,9350,0
11200122,성동구,용답동,685,2287388.92,9350,2
11215101,광진구,중곡동,633,2030509.35,7969,10
11215102,광진구,능동,79,2221888.54,14881,8
11215103,광진구,구의동,566,3396369.01,15791,11
11215104,광진구,광장동,260,2625573.13,10983,2
11215105,광진구,자양동,730,3344851.25,26660,19
11215107,광진구,화양동,235,5297301.28,18077,6
11215109,광진구,군자동,172,4324749.25,14404,1
11230101,동대문구,신설동,254,4544552.28,5741,1
11230102,동대문구,용두동,1692,3851534.55,5741,2
11230103,동대문구,제기동,1471,3311083.06,20217,6
11230104,동대문구,전농동,2413,3186175.11,9061,1
11230105,동대문구,답십리동,3129,3298393.37,7187,16
11230106,동대문구,장안동,4562,3644112.71,9838,20
11230107,동대문구,청량리동,1038,2767756.87,11253,0
11230108,동대문구,회기동,500,3524564.08,9277,0
11230109,동대문구,휘경동,1835,2760394.82,15737,6
11230110,동대문구,이문동,2671,2981712.82,10747,5
11260101,중랑구,면목동,7623,1841362.27,7198,28
11260102,중랑구,상봉동,2219,3220849.71,9343,9
11260103,중랑구,중화동,2423,2310697.88,17908,4
11260104,중랑구,묵동,2441,2403172.31,10740,10
11260105,중랑구,망우동,2340,1339108.74,5416,5
11260106,중랑구,신내동,2576,1483459.24,3676,8
11290101,성북구,성북동,1062,1873904.98,1174,0
11290102,성북구,성북동1가,136,3793228.4,1174,0
11290103,성북구,돈암동,1978,3152234.15,1021,5
11290104,성북구,동소문동1가,69,3905690.49,1174,0
11290105,성북구,동소문동2가,74,4606376.95,551,0
11290106,성북구,동소문동3가,7,5042662.6,551,0
11290107,성북구,동소문동4가,112,4353083.32,1174,0
11290108,성북구,동소문동5가,44,5502690.1,551,1
11290109,성북구,동소문동6가,84,4407563.93,1021,3
11290110,성북구,동소문동7가,120,3715282.63,1021,0
11290111,성북구,삼선동1가,296,2482614.04,551,0
11290112,성북구,삼선동2가,330,3211715.7,551,1
11290113,성북구,삼선동3가,240,3414145.89,551,2
11290114,성북구,삼선동4가,114,4064320.08,551,1
11290115,성북구,삼선동5가,205,4280740.08,551,0
11290116,성북구,동선동1가,57,7708360.08,1021,1
11290117,성북구,동선동2가,107,3746722.32,1021,0
11290118,성북구,동선동3가,136,3465739.47,1021,0
11290119,성북구,동선동4가,145,4364675.67,1021,3
11290120,성북구,동선동5가,91,3426677.78,1021,0
11290121,성북구,안암동1가,162,3452758.88,1166,0
11290122,성북구,안암동2가,126,3438652.08,1166,0
11290123,성북구,안암동3가,253,3210303.8,1166,0
11290124,성북구,안암동4가,51,3831005.29,1166,0
11290125,성북구,안암동5가,118,3939711.13,1166,0
11290126,성북구,보문동4가,47,4008846.01,909,1
11290127,성북구,보문동5가,100,4108996.1,909,0
11290128,성북구,보문동6가,301,3275266.64,909,1
11290129,성북구,보문동7가,34,3388403.64,909,0
11290130,성북구,보문동1가,88,4005638.07,909,1
11290131,성북구,보문동2가,127,4379388.22,909,0
11290132,성북구,보문동3가,149,3074967.48,909,1
11290133,성북구,정릉동,3970,916159.66,7162,5
11290134,성북구,길음동,2005,4094776.47,9611,7
11290135,성북구,종암동,1748,2969178.72,11560,6
11290136,성북구,하월곡동,2005,2921759.37,7180,6
11290137,성북구,상월곡동,507,1764866.4,7180,3
11290138,성북구,장위동,3106,2703127.12,12174,4
11290139,성북구,석관동,1573,2113736.42,13812,5
11305101,강북구,미아동,6851,3026391.05,5612,21
11305102,강북구,번동,2707,1674630.13,10217,5
11305103,강북구,수유동,5931,1173103.48,8198,17
11305104,강북구,우이동,690,183688.57,3028,0
11320105,도봉구,쌍문동,3717,2162382.3,5909,9
11320106,도봉구,방학동,3481,1388020.7,6136,8
11320107,도봉구,창동,5397,2495368.7,9525,19
11320108,도봉구,도봉동,2081,446167.48,6320,4
11350102,노원구,월계동,4209,1704419.28,19317,6
11350103,노원구,공릉동,4289,1228966.6,15856,12
11350104,노원구,하계동,2654,2298340.23,17503,4
11350105,노원구,상계동,10955,1220752.93,14590,37
11350106,노원구,중계동,5663,1641495.79,8032,12
11380101,은평구,수색동,698,2061953.45,12791,0
11380102,은평구,녹번동,2281,2290429.79,8577,5
11380103,은평구,불광동,3847,1612753.45,7626,4
11380104,은평구,갈현동,3414,2392076.34,2210,12
11380105,은평구,구산동,2037,1722567.87,2210,1
11380106,은평구,대조동,1953,4157463.32,9183,5
11380107,은평구,응암동,4763,3021084.9,5487,17
11380108,은평구,역촌동,3206,2991182.16,8336,9
11380109,은평구,신사동,2930,1934560.6,6101,4
11380110,은평구,증산동,883,2618905.18,12925,4
11380114,은평구,진관동,2566,562882,6069,9
11410101,서대문구,충정로2가,0,5791276.91,1716,0
11410102,서대문구,충정로3가,0,5158525.79,1716,0
11410103,서대문구,합동,0,6093333.33,1716,0
11410104,서대문구,미근동,0,9293918.18,1716,0
11410105,서대문구,냉천동,0,4365572.46,1558,1
11410106,서대문구,천연동,940,3393464.69,1558,5
11410107,서대문구,옥천동,0,3093184.18,1558,0
11410108,서대문구,영천동,0,2624499.73,1558,0
11410109,서대문구,현저동,0,1268642.57,1558,0
11410110,서대문구,북아현동,874,3952173.51,7175,0
11410111,서대문구,홍제동,3030,1837708.71,13672,7
11410112,서대문구,대현동,0,6163425.06,3111,0
11410113,서대문구,대신동,0,3832219.19,3111,0
11410114,서대문구,신촌동,1126,3626441.81,3111,0
11410115,서대문구,봉원동,0,449645.71,3111,0
11410116,서대문구,창천동,0,6878496.47,3111,0
11410117,서대문구,연희동,1929,2244089.84,18280,14
11410118,서대문구,홍은동,2713,1317532.06,18539,4
11410119,서대문구,북가좌동,2719,3408253.26,6306,7
11410120,서대문구,남가좌동,2494,4162245,5769,4
11440101,마포구,아현동,1031,6221002.79,2661,4
11440102,마포구,공덕동,1201,7676111.64,2661,4
11440103,마포구,신공덕동,526,7239787.64,2079,1
11440104,마포구,도화동,1030,9140827.7,2079,3
11440105,마포구,용강동,290,5084190.49,2616,3
11440106,마포구,토정동,62,2539255.81,2616,0
11440107,마포구,마포동,130,5493515,3989,1
11440108,마포구,대흥동,569,5383570.17,2909,4
11440109,마포구,염리동,637,5891320.02,2661,3
11440110,마포구,노고산동,302,6734080.94,3516,1
11440111,마포구,신수동,594,5402698.43,2909,3
11440112,마포구,현석동,175,4094419.03,2909,0
11440113,마포구,구수동,52,5853250.24,2909,0
11440114,마포구,창전동,598,5186541.87,4231,3
11440115,마포구,상수동,383,5208448.13,4231,3
11440116,마포구,하중동,80,3971352.49,4231,0
11440117,마포구,신정동,52,3530603.98,4231,1
11440118,마포구,당인동,73,1506952.97,4231,0
11440120,마포구,서교동,2146,9102816.36,3516,8
11440121,마포구,동교동,271,9199552.62,3516,0
11440122,마포구,합정동,1189,3117359.98,24065,11
11440123,마포구,망원동,2499,3281169.31,20943,5
11440124,마포구,연남동,1021,5597011.89,6902,1
11440125,마포구,성산동,2687,3283281.7,8727,6
11440126,마포구,중동,510,3701425.92,8727,1
11440127,마포구,상암동,1366,1682584.23,16553,5
11470101,양천구,신정동,7354,3469764.93,9360,41
11470102,양천구,목동,6451,4608208.53,18225,21
11470103,양천구,신월동,5800,2125765,14410,26
11500101,강서구,염창동,1760,2727053.92,3506,6
11500102,강서구,등촌동,3363,4027374.71,6839,18
11500103,강서구,화곡동,12567,2930074.68,3270,38
11500104,강서구,가양동,2174,3034259.47,3506,0
11500105,강서구,마곡동,1397,614409.91,5313,10
11500106,강서구,내발산동,1973,2943117.17,3270,12
11500107,강서구,외발산동,54,1903818.33,4816,0
11500108,강서구,공항동,1056,1408586.85,2501,9
11500109,강서구,방화동,3549,1764533.89,9252,12
11500110,강서구,개화동,159,187704.88,9084,0
11500111,강서구,과해동,0,378291.7,2501,0
11500112,강서구,오곡동,0,256184.97,2501,0
11500113,강서구,오쇠동,3,341342.08,2501,0
11530101,구로구,신도림동,703,3470584.02,11048,3
11530102,구로구,구로동,2566,3252139.46,12471,14
11530103,구로구,가리봉동,287,3400999.05,21310,1
11530106,구로구,고척동,1145,2725441.44,4697,4
11530107,구로구,개봉동,2001,2302296.19,12528,8
11530108,구로구,오류동,1091,2167509.52,3529,7
11530109,구로구,궁동,337,975522.45,3712,2
11530110,구로구,온수동,182,1598074.21,3712,0
11530111,구로구,천왕동,319,1485619.52,3529,2
11530112,구로구,항동,289,791141.69,3529,2
11545101,금천구,가산동,986,3044146.79,12257,1
11545102,금천구,독산동,5557,2647029.28,8752,15
11545103,금천구,시흥동,6107,1674686.61,8606,19
11560101,영등포구,영등포동,689,3473354.05,2222,2
11560102,영등포구,영등포동1가,113,4924657.97,2222,0
11560103,영등포구,영등포동2가,154,3957042.04,2222,0
11560104,영등포구,영등포동3가,73,11207577.41,2222,1
11560105,영등포구,영등포동4가,112,10708280.1,2222,0
11560106,영등포구,영등포동5가,98,5987754.02,2222,2
11560107,영등포구,영등포동6가,95,5994790.11,2222,1
11560108,영등포구,영등포동7가,375,4653965.09,2222,1
11560109,영등포구,영등포동8가,329,5112332.65,2222,0
11560110,영등포구,여의도동,1959,4578481.73,19712,4
11560111,영등포구,당산동1가,367,4773833.77,2637,1
11560112,영등포구,당산동2가,274,5659763.99,2637,0
11560113,영등포구,당산동3가,493,5328858.77,2637,1
11560114,영등포구,당산동4가,564,5011486.01,5288,0
11560115,영등포구,당산동5가,616,5280678.02,5288,3
11560116,영등포구,당산동6가,196,4369620.04,5288,0
11560117,영등포구,당산동,282,1273260.75,5288,0
11560118,영등포구,도림동,981,2865383.59,9342,1
11560119,영등포구,문래동1가,10,3709384.15,1732,2
11560120,영등포구,문래동2가,53,3573452.63,1732,0
11560121,영등포구,문래동3가,636,5128202.64,1732,7
11560122,영등포구,문래동4가,95,3101452.78,1732,0
11560123,영등포구,문래동5가,225,2284632.47,1732,0
11560124,영등포구,문래동6가,446,3456507.88,1732,2
11560125,영등포구,양평동1가,247,4696570.76,5527,0
11560126,영등포구,양평동2가,339,4238582.6,5527,0
11560127,영등포구,양평동3가,526,3864511.37,4465,0
11560128,영등포구,양평동4가,324,4545299.41,4465,0
11560129,영등포구,양평동5가,303,4449351.55,4465,0
11560130,영등포구,양평동6가,240,3243769.58,4465,0
11560131,영등포구,양화동,0,469558.83,4465,0
11560132,영등포구,신길동,5042,3702140.47,3810,19
11560133,영등포구,대림동,2569,3479181.85,10458,6
11560134,영등포구,양평동,0,397000,4465,0
11590101,동작구,노량진동,1266,4905636.54,10605,2
11590102,동작구,상도동,5090,3596724.64,7711,14
11590103,동작구,상도1동,435,3848814.38,5960,2
11590104,동작구,본동,488,2334319.75,10605,0
11590105,동작구,흑석동,1423,4315806.61,34272,3
11590106,동작구,동작동,290,902242.24,13576,2
11590107,동작구,사당동,4424,3738631,13576,10
11590108,동작구,대방동,1729,3936952.26,8160,1
11590109,동작구,신대방동,1996,3618832.39,4720,5
11620101,관악구,봉천동,9601,2752304.31,11901,20
11620102,관악구,신림동,14555,1574473.58,8034,37
11620103,관악구,남현동,871,766578.53,22611,3
11650101,서초구,방배동,5359,5217925,10076,27
11650102,서초구,양재동,1743,4842495.74,16010,13
11650103,서초구,우면동,1085,1859685.31,9358,2
11650104,서초구,원지동,10,205152.22,16010,0
11650106,서초구,잠원동,2496,8235485.76,24190,7
11650107,서초구,반포동,4175,10285153.22,18270,20
11650108,서초구,서초동,4641,10590384.44,14686,26
11650109,서초구,내곡동,271,464108.08,5052,0
11650110,서초구,염곡동,68,911993.1,5052,0
11650111,서초구,신원동,216,394476.59,5052,2
11680101,강남구,역삼동,5096,14980384.84,14112,35
11680103,강남구,개포동,3189,5922772.1,7083,8
11680104,강남구,청담동,2005,11272768.03,23080,11
11680105,강남구,삼성동,2902,14872586.62,8189,22
11680106,강남구,대치동,4209,12343717.1,19604,12
11680107,강남구,신사동,874,14616377.53,7318,17
11680108,강남구,논현동,3890,10934924.11,12495,36
11680110,강남구,압구정동,1884,12869235.29,7318,2
11680111,강남구,세곡동,641,1419262.65,3985,4
11680112,강남구,자곡동,898,1679355.15,3985,2
11680113,강남구,율현동,159,814971.22,3985,2
11680114,강남구,일원동,1755,4503931.94,7083,6
11680115,강남구,수서동,992,2529735.43,16782,2
11680118,강남구,도곡동,2877,10838044.97,10497,17
11710101,송파구,잠실동,5255,8257975.54,14092,19
11710102,송파구,신천동,1680,5579734.9,20877,4
11710103,송파구,풍납동,1701,2841457.36,18405,7
11710104,송파구,송파동,2152,6715953.24,15294,13
11710105,송파구,석촌동,1862,6102858.42,6484,7
11710106,송파구,삼전동,1887,5122688.13,10507,14
11710107,송파구,가락동,3195,6884533.16,6323,11
11710108,송파구,문정동,3233,6074418.46,9303,14
11710109,송파구,장지동,1551,4212248.18,9303,10
11710111,송파구,방이동,3056,4890055.25,13805,13
11710112,송파구,오금동,1657,5071755.67,6468,12
11710113,송파구,거여동,1531,4283952.13,3113,11
11710114,송파구,마천동,1728,2956764.53,5854,4
11740101,강동구,명일동,1534,5146759.51,5722,8
11740102,강동구,고덕동,1299,3009235.86,25505,4
11740103,강동구,상일동,936,3329961.01,6543,3
11740105,강동구,길동,2019,3993336.4,12288,6
11740106,강동구,둔촌동,1524,2366817.84,9257,8
11740107,강동구,암사동,3083,1849342.53,6205,12
11740108,강동구,성내동,2971,5293907.29,14826,21
11740109,강동구,천호동,4101,4016160.27,13706,14
11740110,강동구,강일동,814,2309550.16,12100,2
